($million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,ABN,Institution Name, Cash and deposits with financial institutions , Trading securities , Investment securities , Net acceptances of customers , Total residents assets , Total securitised assets on balance sheet , Loans to non-financial businesses , Loans to financial institutions , Loans to general government , Loans to households: Housing: Owner-occupied , Loans to households: Housing: Investment , Loans to households: Credit cards , Loans to households: Other , Loans to community service organisations , Total residents loans and finance leases , Intra-group loans and finance leases , Acceptances , Intra-group deposits , Negotiable Certificates of Deposit , Total short-term borrowings , Total long-term borrowings , Deposits by non-financial businesses , Deposits by financial institutions , Deposits by general government , Deposits by households , Deposits by community service organisations , Total residents deposits ,,
30/04/2020,14087822491,Australian Settlements Limited,414,0,102,0,530,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,1,509,0,0,0,511,,
30/04/2020,30087652079,Australian Unity Bank Limited,46,0,173,0,"1,125",0,28,106,0,510,261,4,5,0,912,0,0,0,0,0,0,0,181,93,731,10,"1,015",,
30/04/2020,40087652060,Auswide Bank Ltd,140,0,299,0,"4,397","1,064",135,0,0,"2,031",863,1,21,1,"3,052",0,0,0,331,331,159,501,143,327,"1,489",62,"2,523",,
30/04/2020,32087652088,B&E Ltd,67,0,123,0,"1,640",247,32,0,0,690,171,3,23,0,918,250,0,0,0,0,0,66,178,19,772,9,"1,044",,
30/04/2020,21087651607,Bank Australia Limited,314,139,"1,075",0,"8,029","1,029",263,29,0,"4,155",792,13,180,85,"5,518",0,0,4,90,90,430,359,169,37,"5,063",193,"5,821",,
30/04/2020,51064874531,"Bank of America, National Association",398,"1,366","3,299",0,"18,681",0,"4,471","6,775",0,0,0,0,0,0,"11,245",0,0,877,0,0,0,"2,495","1,208",0,0,1,"3,704",,
30/04/2020,48125314249,Bank of Baroda,87,0,0,0,412,0,326,0,0,0,0,0,0,0,326,0,0,0,0,0,0,13,180,0,9,0,202,,
30/04/2020,28110077622,Bank of China (Australia) Limited,160,0,501,0,"3,617",0,101,75,0,"2,324",444,1,0,0,"2,944",0,0,0,0,66,0,26,6,0,"2,006",0,"2,038",,
30/04/2020,29002979955,Bank of China Limited,809,627,"3,793",0,"28,351",0,"19,827","1,561",100,0,0,0,0,0,"21,488",655,0,4,"3,198","10,144","2,929","11,921",919,111,0,25,"12,977",,
30/04/2020,74137909963,"Bank of Communications Co., Ltd.",2,0,"3,585",0,"5,624",0,"2,779",825,0,0,0,0,0,0,"3,604",0,0,0,274,"3,310","1,612",45,0,0,0,0,45,,
30/04/2020,32009656740,Bank of Queensland Limited,"1,384","1,207","3,878",0,"65,335","13,815","11,491","1,224",0,"16,694","11,500",61,581,6,"41,557","7,676",0,70,"3,131","3,243","7,338","10,491","5,704","1,577","15,086",947,"33,804",,
30/04/2020,44093488629,Bank of Sydney Ltd,92,0,488,0,"3,681",921,645,29,0,"1,039",335,1,1,33,"2,083",0,0,0,0,0,0,685,299,39,"1,277",75,"2,375",,
30/04/2020,71608940718,Bank of Taiwan,0,0,203,0,473,0,210,59,0,0,0,0,0,0,269,0,0,0,0,99,0,14,0,0,0,0,14,,
30/04/2020,11068049178,Bendigo and Adelaide Bank Limited,744,"6,428",844,0,"89,637","15,745","14,584",949,9,"29,838","14,342",283,"2,547",21,"62,574","2,922",0,37,"4,830","4,821","4,864","17,786","3,059","2,039","30,975",234,"54,092",,
30/04/2020,15087651143,Beyond Bank Australia Limited,156,0,875,0,"7,660","1,735",182,71,0,"3,986",990,17,585,3,"5,833",0,0,0,0,115,3,564,173,15,"4,254",144,"5,150",,
30/04/2020,63087651849,BNK Banking Corporation Limited,52,0,41,0,457,0,21,13,0,132,126,0,1,0,292,,0,,,0,0,113,29,0,181,25,348,,
30/04/2020,23000000117,BNP Paribas,"3,040",-1,"3,439",0,"14,301",0,"6,225",467,0,0,0,0,0,0,"6,692",49,0,"1,674","2,309","1,854",650,"7,320",424,177,0,0,"7,921",,
30/04/2020,87149440291,BNP Paribas Securities Services,668,0,"1,212",0,"8,204",0,0,44,0,0,0,0,0,0,44,"4,366",0,33,0,0,0,0,"9,856",0,0,1,"9,857",,
30/04/2020,33608235847,Canadian Imperial Bank of Commerce,356,0,485,0,"4,272",0,"3,421",0,0,0,0,0,0,0,"3,421",0,0,0,344,744,"2,425",0,0,0,0,0,0,,
30/04/2020,24125167553,China Construction Bank Corporation,240,0,"2,085",0,"7,177",0,"4,653",445,0,0,0,0,0,0,"5,098",0,0,0,463,"6,357","1,466","1,118",412,21,18,0,"1,568",,
30/04/2020,69322403457,"China Everbright Bank Co., Ltd",3,0,928,0,"1,869",0,891,83,0,0,0,0,0,0,974,0,0,0,90,904,0,31,0,0,0,0,31,,
30/04/2020,96609857383,"China Merchants Bank Co., Ltd",220,0,600,0,"1,129",0,199,91,0,0,0,0,0,0,291,0,0,0,80,415,0,3,0,0,2,0,5,,
30/04/2020,34072814058,"Citibank, N.A.","3,827",0,"5,823",2,"27,927",0,"4,291","1,968",0,0,0,0,0,0,"6,259",626,2,"2,561",0,0,740,"6,752","6,644",16,0,0,"13,413",,
30/04/2020,88004325080,Citigroup Pty Limited,"1,140",0,"1,356",0,"25,917","4,979",576,2,0,"4,315","2,627","4,114","1,272",1,"12,907",5,0,"3,501",0,0,"1,202","1,517",234,0,"5,791",61,"7,604",,
30/04/2020,88087649910,Coastline Credit Union Limited,41,0,86,0,619,0,43,2,0,331,85,2,25,0,487,,0,,,0,0,48,101,7,398,18,572,,
30/04/2020,48123123124,Commonwealth Bank of Australia,"14,411","25,307","68,588",29,"973,504","178,274","136,183","14,334","22,118","294,077","156,819","8,647","16,030",967,"649,174","53,356",29,"3,658","32,334","51,846","119,816","125,502","106,444","31,643","275,869","5,539","544,997",,
30/04/2020,80087649938,Community First Credit Union Limited,98,0,179,0,"1,424",126,4,0,0,598,181,23,51,0,857,,0,,,0,0,101,48,0,862,9,"1,019",,
30/04/2020,70003917655,Cooperatieve Rabobank U.A.,140,0,850,0,"15,470",0,"5,124",0,0,0,0,0,0,120,"5,244",0,0,21,"1,328","3,411","4,718",310,343,0,0,0,654,,
30/04/2020,17061700712,Credit Suisse AG,224,0,"1,150",0,"7,652",0,"3,064",644,0,118,57,0,873,10,"4,767",222,0,89,13,"7,335",503,"2,329",286,0,289,0,"2,904",,
30/04/2020,44087650959,Credit Union Australia Ltd,472,0,"1,951",0,"18,259","4,032",101,0,0,"10,452","2,618",31,442,0,"13,645",,0,,,263,860,421,"1,216",175,"9,936",2,"11,750",,
30/04/2020,36087651232,Credit Union SA Ltd,58,0,152,0,"1,183",121,5,0,0,760,168,10,23,0,965,,0,,,0,0,55,38,0,953,15,"1,060",,
30/04/2020,95087822455,Cuscal Limited,959,0,"1,377",0,"2,469",0,0,1,0,0,0,0,0,0,1,,0,,,104,0,126,"1,664",0,0,0,"1,790",,
30/04/2020,46601105373,DBS Bank Ltd,116,0,"2,317",0,"7,948",0,"5,296",150,0,0,0,0,0,0,"5,446",0,0,0,"2,645","2,800","1,400",878,332,0,0,0,"1,209",,
30/04/2020,57087651385,Defence Bank Limited,100,0,348,0,"3,147",738,1,0,0,"1,864",259,9,124,0,"2,257",0,0,0,203,203,2,223,164,13,"1,534",35,"1,969",,
30/04/2020,13064165162,Deutsche Bank Aktiengesellschaft,389,709,"4,810",0,"13,948",0,"1,096","1,383",0,0,0,0,0,0,"2,479","2,917",0,"1,361",403,403,552,37,6,0,0,0,43,,
30/04/2020,60606234879,"E.SUN Commercial Bank, Ltd.",45,0,710,0,"1,855",0,962,133,0,0,0,0,0,0,"1,095",0,0,0,181,454,0,28,0,0,21,0,49,,
30/04/2020,15126292608,First Commercial Bank,12,0,251,0,"2,230",0,"1,940",31,0,0,0,0,0,0,"1,971",0,0,0,436,971,0,155,0,0,6,0,160,,
30/04/2020,95087650735,First Option Bank Ltd,46,0,25,0,246,0,4,0,0,125,39,2,5,0,175,,0,,,1,4,31,0,0,193,0,224,,
30/04/2020,72087650637,G&C Mutual Bank Limited,170,49,347,0,"1,539",189,78,0,0,452,185,5,56,0,777,0,0,0,172,172,0,59,205,5,704,8,980,,
30/04/2020,47087650093,Gateway Bank Ltd,31,0,115,0,"1,323",403,19,30,0,587,205,0,75,0,915,0,0,0,0,0,0,18,173,0,596,2,790,,
30/04/2020,87087651509,Goulburn Murray Credit Union Co-operative Limited,45,0,90,0,436,0,26,3,0,211,48,0,5,2,294,,0,,,0,0,44,9,6,311,14,383,,
30/04/2020,88087651956,Greater Bank Limited,129,0,"1,302",0,"8,204","1,160",110,0,0,"4,394","1,213",23,142,0,"5,882",0,0,3,414,392,20,430,301,24,"5,089",77,"5,922",,
30/04/2020,32087652024,Heritage Bank Limited,220,0,"1,754",0,"13,206","3,177",235,47,0,"5,590","1,690",65,138,0,"7,766",735,0,0,342,493,650,"1,270",650,24,"5,846",73,"7,862",,
30/04/2020,66087650173,Horizon Credit Union Ltd,21,0,67,0,423,0,14,0,0,238,67,2,9,0,330,,0,,,0,9,40,0,0,334,10,384,,
30/04/2020,48006434162,HSBC Bank Australia Limited,"1,932",0,"12,788",18,"49,930","10,428","3,420",60,0,"15,187","6,363",728,50,0,"25,807",0,18,116,0,200,44,"9,551","5,053",31,"12,672",153,"27,459",,
30/04/2020,54138221637,"Hua Nan Commercial Bank, Ltd.",29,60,116,0,"1,030",0,739,80,0,0,0,0,0,0,819,0,0,0,100,186,0,3,0,0,0,0,3,,
30/04/2020,85051868556,Hume Bank Limited,160,0,217,0,"1,497",163,64,8,1,638,209,6,18,1,944,0,0,0,0,0,0,175,69,12,899,79,"1,234",,
30/04/2020,68087650182,Hunter United Employees' Credit Union Limited,19,0,42,0,342,0,0,0,0,231,36,2,6,0,275,,0,,,0,0,18,45,7,240,5,315,,
30/04/2020,14087650771,Illawarra Credit Union Limited,54,0,89,0,644,0,9,1,0,360,114,0,6,0,490,,0,,,0,0,65,16,0,497,0,578,,
30/04/2020,92087651974,IMB Ltd,208,0,924,0,"7,915","1,757",251,18,0,"3,409","1,066",0,370,0,"5,114",1,0,4,306,306,70,393,800,252,"3,666",101,"5,212",,
30/04/2020,97087822464,Indue Ltd,388,0,59,0,497,0,2,0,0,0,0,0,0,0,2,,0,,,0,0,108,297,0,0,23,428,,
30/04/2020,57086866506,Industrial and Commercial Bank of China Limited,212,"2,459","1,773",0,"12,961",0,"9,042",762,0,0,0,0,0,0,"9,804",0,0,0,536,"11,980","3,653","3,385",51,0,18,0,"3,453",,
30/04/2020,24000893292,ING Bank (Australia) Limited,979,0,"4,744",0,"83,423","14,748","11,247",387,0,"42,294","9,144",50,279,0,"63,399","4,140",0,"12,496",862,387,"2,248","3,185","5,076",867,"37,273",76,"46,476",,
30/04/2020,32080178196,ING Bank N.V.,0,0,476,0,"11,899",0,0,0,0,0,0,0,0,0,0,"10,767",0,"1,538","2,477","1,795",629,0,0,0,0,0,0,,
30/04/2020,93629184710,Investec Bank plc,38,0,0,0,813,0,362,264,0,0,0,0,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,,
30/04/2020,43074112011,"JPMorgan Chase Bank, National Association","15,707",0,"5,994",14,"36,251",0,"2,435","1,537",0,0,0,0,0,0,"3,972",424,14,"1,556",0,0,0,"2,168","27,925",6,0,43,"30,142",,
30/04/2020,11615995581,Judo Bank Pty Ltd,130,31,402,0,"2,191",209,"1,419",0,0,59,79,0,0,0,"1,557",0,0,0,0,0,94,39,528,48,785,24,"1,424",,
30/04/2020,96164085563,KEB HANA Bank,2,0,97,0,742,0,647,0,0,9,5,0,0,1,662,0,0,0,383,383,0,197,0,0,1,1,200,,
30/04/2020,25044678441,Lutheran Laypeople's League of Australia Limited,571,0,558,0,"1,434",0,295,0,0,0,0,0,0,0,295,0,0,0,0,0,0,482,44,0,584,165,"1,273",,
30/04/2020,83087650244,Macarthur Credit Union Ltd,94,0,1,0,280,0,0,0,0,144,29,0,7,0,181,,0,,,0,0,46,0,0,206,0,252,,
30/04/2020,46008583542,Macquarie Bank Limited,"2,216","4,141","7,664",0,"136,260","35,352","7,945","2,575",49,"27,613","21,069",486,770,0,"60,506","18,311",0,"12,895",595,"6,682","28,299","23,705","30,286","2,154","14,663","1,203","72,010",,
30/04/2020,94087651983,Maitland Mutual Limited,81,0,111,0,"1,016",207,83,0,0,362,146,1,3,1,597,0,0,0,0,0,4,162,150,23,386,27,748,,
30/04/2020,27079372688,"Mega International Commercial Bank Co., Ltd.",55,287,281,0,"3,297",0,"2,631",81,0,7,11,0,0,0,"2,731",0,0,0,670,740,0,165,3,0,22,0,190,,
30/04/2020,83087651054,Members Banking Group Limited,103,0,296,0,"3,189",767,6,0,0,"1,597",308,0,51,0,"1,962",0,0,14,183,183,175,61,82,0,"1,665",3,"1,810",,
30/04/2020,56070887679,Members Equity Bank Limited,760,0,"2,767",0,"25,142","6,007",0,0,0,"11,237","3,697",142,132,0,"15,208",137,0,0,"2,789","2,797",950,"3,271","5,040","1,149","8,836",731,"19,027",,
30/04/2020,83099031106,"Mizuho Bank, Ltd.","2,139",0,"1,610",54,"21,688",0,"12,595","4,324",0,0,0,0,0,0,"16,919",446,54,108,"6,727","6,471","2,500","3,799",924,0,0,0,"4,724",,
30/04/2020,75103418882,"MUFG Bank, Ltd.","1,954",0,"3,599",230,"32,319",0,"16,272","6,773",62,0,0,0,0,0,"23,107",0,230,50,"10,510","7,623","4,896","11,939","6,756",898,0,0,"19,593",,
30/04/2020,54087651750,MyLifeMyFinance Limited,6,46,0,0,168,0,0,0,0,96,17,0,2,0,115,,0,,,0,0,6,10,1,127,0,144,,
30/04/2020,89067729195,MyState Bank Limited,204,0,533,0,"6,142","1,447",70,60,0,"2,774",763,0,74,0,"3,740",0,0,0,390,390,35,520,280,0,"3,079",0,"3,880",,
30/04/2020,12004044937,National Australia Bank Limited,"16,498","53,099","29,830",0,"759,748","127,899","175,256","22,764","2,091","154,060","108,091","4,273","16,045",698,"483,278","34,757",0,"5,920","31,980","55,772","126,492","122,870","86,972","12,439","137,118","6,965","366,363",,
30/04/2020,96087651992,Newcastle Permanent Building Society Limited,271,0,"1,543",0,"12,267","1,398",77,0,0,"6,212","2,080",27,547,1,"8,944",,0,,,288,825,607,670,127,"7,166",85,"8,655",,
30/04/2020,36087650422,Northern Inland Credit Union Limited,44,0,35,0,343,0,10,0,0,189,45,2,11,0,256,,0,,,0,0,44,0,0,251,2,296,,
30/04/2020,34087650477,Orange Credit Union Limited,65,0,14,0,227,0,1,0,0,129,4,0,12,0,146,,0,,,0,0,6,2,3,183,4,198,,
30/04/2020,94073598035,Oversea-Chinese Banking Corporation Limited,6,0,"3,471",0,"12,188",0,"8,458",0,0,0,0,0,0,0,"8,458",0,0,0,"3,051","3,059","2,799",199,471,545,0,0,"1,215",,
30/04/2020,93111195389,PayPal Australia Pty Limited,"1,518",0,0,0,"1,734",0,0,0,0,0,0,0,0,0,0,,0,,,0,0,497,25,1,193,26,742,,
30/04/2020,69087651876,Police & Nurses Limited,253,0,765,0,"7,478","1,531",209,122,0,"3,461","1,203",43,52,2,"5,092",23,0,0,479,478,0,400,355,48,"3,923",125,"4,851",,
30/04/2020,95087650799,Police Bank Ltd,147,0,311,0,"2,178",169,1,0,0,"1,296",254,18,97,0,"1,665",0,0,0,155,86,69,78,42,0,"1,644",22,"1,786",,
30/04/2020,30087651205,Police Credit Union Limited,91,0,120,0,"1,182",0,121,0,0,559,214,4,62,0,960,,0,,,4,29,71,34,68,863,14,"1,050",,
30/04/2020,33087651661,Police Financial Services Limited,99,0,470,0,"2,291",254,0,4,0,"1,358",313,13,32,0,"1,721",0,0,0,0,29,52,17,159,57,"1,756",6,"1,995",,
30/04/2020,79087651036,QPCU Limited,57,0,110,0,955,74,0,0,0,513,144,8,28,0,694,0,0,0,53,53,75,119,34,20,486,0,659,,
30/04/2020,53087650557,Qudos Mutual Ltd,228,0,604,0,"5,533","1,297",0,0,0,"2,346","1,011",19,21,0,"3,397",0,0,0,155,155,0,247,303,0,"3,131",10,"3,691",,
30/04/2020,77087651027,Queensland Country Bank Limited,153,0,257,0,"2,519",206,60,0,0,"1,299",383,13,111,1,"1,868",0,0,0,0,0,20,315,155,63,"1,492",57,"2,081",,
30/04/2020,50001621129,Rabobank Australia Limited,220,0,"2,360",0,"18,700",0,"16,347",46,0,110,192,0,2,0,"16,697",0,0,"4,528",0,0,0,"3,080","3,966",260,"4,577",127,"12,011",,
30/04/2020,91087651090,Railways Credit Union Limited,39,0,112,0,647,0,1,0,0,355,97,0,39,0,491,,0,,,0,0,9,30,0,529,8,576,,
30/04/2020,21087650360,Regional Australia Bank Ltd,135,0,246,0,"2,317",204,186,0,0,"1,285",312,9,84,0,"1,876",0,0,0,0,0,0,418,92,7,"1,567",22,"2,106",,
30/04/2020,86076940880,Royal Bank of Canada,22,"1,776","2,443",0,"9,673",0,"3,136","1,232",0,0,0,0,0,0,"4,368",7,0,"2,147","3,220","3,845","4,686",298,"3,387",0,0,0,"3,685",,
30/04/2020,95607620440,"Shinhan Bank Co., Ltd",66,0,110,0,616,0,390,31,0,0,0,0,0,0,421,0,0,0,229,129,100,22,0,0,0,0,22,,
30/04/2020,71092516286,Societe Generale,1,0,126,0,651,0,529,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,,
30/04/2020,82087650682,Southern Cross Credit Union Ltd,17,0,98,0,612,0,42,0,0,332,114,0,9,0,496,,0,,,0,0,59,49,0,421,20,549,,
30/04/2020,35845772731,Standard Chartered Bank,70,0,0,0,944,0,619,254,0,0,0,0,0,0,873,0,0,0,0,0,0,16,0,0,0,0,16,,
30/04/2020,95082610008,State Bank of India,81,0,46,0,"2,362",0,"1,541",0,0,0,0,0,0,0,"1,541",0,0,0,0,280,825,43,13,0,3,0,59,,
30/04/2020,70062819630,State Street Bank and Trust Company,"3,772",0,"3,609",0,"10,500",0,0,35,0,0,0,0,0,0,35,0,0,497,0,0,0,0,"10,563",1,0,0,"10,564",,
30/04/2020,98114053459,Sumitomo Mitsui Banking Corporation,140,0,"4,549",0,"29,920",0,"18,905","4,540",0,0,0,0,0,0,"23,444",316,0,0,"5,871","7,110","3,194","3,919","4,931",0,0,0,"8,850",,
30/04/2020,23087650806,Summerland Financial Services Limited,62,0,105,0,831,0,40,0,0,425,155,2,21,0,642,,0,,,60,2,90,25,2,544,24,685,,
30/04/2020,66010831722,Suncorp-Metway Limited,875,"1,309","5,111",0,"78,992","14,718","12,101",107,0,"30,590","12,576",3,"2,325",3,"57,704",560,0,639,"4,337","6,553","9,608","6,970","4,942","2,170","25,034",295,"39,411",,
30/04/2020,30165085638,"Taishin International Bank Co., Ltd",13,0,388,0,"1,031",0,567,60,0,0,0,0,0,0,627,0,0,0,0,77,0,4,0,0,0,0,4,,
30/04/2020,36078577250,"Taiwan Business Bank, Ltd",109,0,201,0,"1,655",0,"1,268",38,0,5,22,0,12,0,"1,345",0,0,0,253,369,0,21,0,0,5,0,25,,
30/04/2020,96139482634,"Taiwan Cooperative Bank, Ltd",5,0,315,0,"1,181",0,790,54,0,0,0,0,0,0,843,0,0,0,181,412,0,33,0,0,1,0,34,,
30/04/2020,30087650459,Teachers Mutual Bank Limited,214,0,"1,395",0,"8,128",941,0,0,0,"4,926","1,303",56,137,0,"6,422",0,0,0,253,254,417,87,358,26,"6,312",14,"6,797",,
30/04/2020,84084066419,The Bank of New York Mellon,24,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,3,,
30/04/2020,34133513827,The Bank of Nova Scotia,0,0,816,0,"4,702",0,"3,340",39,0,0,0,0,0,0,"3,379",0,0,0,"2,306","2,306","2,750",176,445,0,0,0,621,,
30/04/2020,54087650940,The Capricornian Ltd,22,0,36,0,356,0,11,0,0,214,53,0,16,0,293,,0,,,0,0,8,38,10,269,2,327,,
30/04/2020,65117925970,The Hongkong and Shanghai Banking Corporation Limited,95,0,"4,947",0,"25,653",0,"12,783",795,208,0,0,0,0,0,"13,786","2,162",0,0,"1,981","2,021","3,499",415,640,0,0,0,"1,055",,
30/04/2020,62126279918,The Northern Trust Company,"5,152",0,"2,410",0,"7,655",0,0,3,172,0,0,0,0,0,176,0,0,0,0,0,0,0,"13,376","3,696",0,15,"17,086",,
30/04/2020,49103575042,Tyro Payments Limited,103,0,73,0,252,0,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,33,0,0,0,0,33,,
30/04/2020,47088129613,UBS AG,"1,869","1,761","1,040",0,"17,964",0,322,"5,214",0,0,0,0,0,0,"5,537",440,0,883,20,20,"3,269",2,"2,246",16,0,0,"2,263",,
30/04/2020,17135448047,Union Bank of India,22,0,77,0,329,0,78,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,28,0,1,0,29,,
30/04/2020,56060785284,United Overseas Bank Limited,43,0,"6,003",0,"15,594",0,"6,384","1,071",0,0,0,0,0,0,"7,455",227,0,"1,542","5,235","5,235","1,400",46,907,0,2,0,955,,
30/04/2020,11087650315,Unity Bank Limited,135,0,162,0,"1,518",170,31,7,1,698,207,6,64,9,"1,023",0,0,0,0,0,30,90,256,11,752,70,"1,178",,
30/04/2020,44087651769,Victoria Teachers Limited,207,0,318,0,"3,285",478,5,5,0,"1,738",388,14,65,0,"2,215",4,0,0,0,0,0,128,111,3,"2,284",12,"2,538",,
30/04/2020,67622375722,volt bank limited,2,0,48,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,,
30/04/2020,98087651116,Warwick Credit Union Ltd,54,0,0,0,348,0,46,1,0,188,49,0,5,1,290,,0,,,0,0,77,15,4,195,28,319,,
30/04/2020,48087651787,WAW Credit Union Co-Operative Limited,24,0,88,0,548,0,31,2,1,310,79,0,3,0,425,,0,,,0,0,54,32,28,378,16,508,,
30/04/2020,33007457141,Westpac Banking Corporation,"18,225","10,071","91,939",0,"895,151","143,409","132,642","25,855",595,"228,200","178,595","7,355","23,933",218,"597,393","43,437",0,"14,108","24,033","45,078","147,514","125,500","85,598","24,748","221,061","2,881","459,788",,
30/04/2020,94150148299,Woori Bank,34,0,48,0,797,0,607,0,0,0,0,0,0,1,608,0,0,0,0,37,199,89,55,0,0,1,145,,
30/04/2020,99618937054,Xinja Bank Limited,172,0,355,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,510,,
31/03/2020,13621804813,86 400 Ltd,10,0,232,0,278,0,0,0,0,10,3,0,0,0,13,5,0,0,0,0,0,0,0,0,230,0,230,,
31/03/2020,70744009137,ABN AMRO Bank N.V.,1,0,67,0,620,0,579,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,,
31/03/2020,48848300367,Agricultural Bank of China Limited,246,0,"4,415",0,"6,312",0,"2,006","1,215",0,0,0,0,0,0,"3,221",0,0,0,"1,390","6,092","1,000",999,0,0,0,0,999,,
31/03/2020,15081596009,AMP Bank Limited,762,0,"2,273",0,"27,424","7,503",915,806,0,"13,130","5,196",0,721,0,"20,769",0,0,"6,539",273,272,"2,142","2,355","1,709",171,"4,190",54,"8,478",,
31/03/2020,37002950745,Arab Bank Australia Limited,35,0,216,0,984,40,275,0,0,175,183,0,49,4,685,0,0,0,1,1,0,210,169,2,363,3,747,,
31/03/2020,11005357522,Australia and New Zealand Banking Group Limited,"17,307","26,691","40,942",31,"695,643","146,758","118,236","19,382","1,351","160,646","85,086","6,562","13,472",953,"405,689","20,761",37,454,"34,783","49,394","97,186","107,497","56,578","4,841","125,683","4,067","298,666",,
31/03/2020,11087651125,Australian Central Credit Union Ltd,199,0,852,0,"9,944","2,561",37,0,0,"5,996","1,356",47,425,0,"7,861",,0,,,133,0,526,203,4,"5,660",13,"6,406",,
31/03/2020,48087649741,Australian Military Bank Ltd,50,0,186,0,"1,616",169,0,0,0,968,151,17,66,0,"1,201",0,0,0,85,94,0,117,281,85,588,170,"1,242",,
31/03/2020,93087650726,Australian Mutual Bank Ltd,160,0,228,0,"1,820",203,11,0,0,853,273,10,47,1,"1,194",0,0,0,0,3,0,57,35,0,"1,253",67,"1,412",,
31/03/2020,14087822491,Australian Settlements Limited,316,0,121,0,452,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,1,431,0,0,0,432,,
31/03/2020,30087652079,Australian Unity Bank Limited,38,0,133,0,"1,067",0,26,106,0,505,257,5,5,0,903,0,0,0,0,0,0,0,129,97,734,6,966,,
31/03/2020,40087652060,Auswide Bank Ltd,135,0,243,0,"4,317","1,080",135,0,0,"2,001",873,1,21,1,"3,032",0,0,0,296,296,159,488,170,313,"1,462",62,"2,496",,
31/03/2020,32087652088,B&E Ltd,55,0,112,0,"1,373",133,30,0,0,689,169,3,23,0,914,133,0,0,0,0,0,63,177,20,749,10,"1,018",,
31/03/2020,21087651607,Bank Australia Limited,324,163,966,0,"7,958","1,062",266,29,0,"4,142",784,16,186,84,"5,507",0,0,4,92,92,434,355,168,34,"4,967",187,"5,711",,
31/03/2020,51064874531,"Bank of America, National Association",339,462,"3,272",0,"18,132",0,"4,841","6,922",0,0,0,0,0,0,"11,763",0,0,963,0,2,0,"2,452","1,206",0,0,1,"3,658",,
31/03/2020,48125314249,Bank of Baroda,91,0,0,0,409,0,319,0,0,0,0,0,0,0,319,0,0,0,0,0,0,14,154,0,11,0,179,,
31/03/2020,28110077622,Bank of China (Australia) Limited,139,0,351,0,"3,391",0,101,122,0,"2,249",417,1,0,0,"2,890",0,0,0,0,44,0,32,5,0,"2,039",0,"2,076",,
31/03/2020,29002979955,Bank of China Limited,163,0,"3,670",0,"27,076",0,"19,841","1,611",100,0,0,0,0,0,"21,552",424,0,5,"1,917","8,364","2,929","10,975",893,64,0,25,"11,957",,
31/03/2020,74137909963,"Bank of Communications Co., Ltd.",4,0,"3,611",0,"5,504",0,"2,564",871,0,0,0,0,0,0,"3,435",0,0,0,343,"3,990","1,614",61,0,0,0,0,61,,
31/03/2020,32009656740,Bank of Queensland Limited,983,"1,026","3,840",0,"64,370","12,989","11,449","1,222",0,"16,683","11,565",72,598,10,"41,599","6,878",0,55,"2,954","3,301","7,465","10,427","5,713","1,578","14,766",956,"33,440",,
31/03/2020,44093488629,Bank of Sydney Ltd,122,0,493,0,"3,767",939,689,29,0,"1,038",328,1,1,31,"2,117",0,0,0,0,0,0,725,298,51,"1,287",73,"2,434",,
31/03/2020,71608940718,Bank of Taiwan,25,0,200,0,500,0,212,62,0,0,0,0,0,0,275,0,0,0,0,47,0,14,0,0,0,0,14,,
31/03/2020,11068049178,Bendigo and Adelaide Bank Limited,895,"5,895",73,0,"85,735","13,060","14,577",903,9,"29,658","14,314",315,"2,584",21,"62,380","2,833",0,42,"4,713","4,705","4,865","17,567","2,968","2,106","30,310",207,"53,158",,
31/03/2020,15087651143,Beyond Bank Australia Limited,131,0,797,0,"7,516","1,753",181,72,0,"3,955",984,19,594,3,"5,807",0,0,0,0,60,3,563,178,15,"4,151",138,"5,045",,
31/03/2020,63087651849,BNK Banking Corporation Limited,43,0,41,0,443,0,21,13,0,134,118,0,2,0,288,,0,,,0,0,111,33,0,166,25,335,,
31/03/2020,23000000117,BNP Paribas,765,-1,"3,157",0,"12,786",0,"6,187",630,0,0,0,0,0,0,"6,817",90,0,"2,730","2,186","3,136",650,"5,198",347,218,0,0,"5,763",,
31/03/2020,87149440291,BNP Paribas Securities Services,596,0,"1,219",0,"7,713",0,0,303,0,0,0,0,0,0,303,"2,590",0,28,0,0,0,0,"9,133",0,0,5,"9,138",,
31/03/2020,33608235847,Canadian Imperial Bank of Commerce,15,0,418,0,"3,861",0,"3,431",0,0,0,0,0,0,0,"3,431",0,0,0,170,570,"1,625",0,0,0,0,0,0,,
