($million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,ABN,Institution Name, Cash and deposits with financial institutions , Trading securities , Investment securities , Net acceptances of customers , Total residents assets , Total securitised assets on balance sheet , Loans to non-financial businesses , Loans to financial institutions , Loans to general government , Loans to households: Housing: Owner-occupied , Loans to households: Housing: Investment , Loans to households: Credit cards , Loans to households: Other , Loans to community service organisations , Total residents loans and finance leases , Intra-group loans and finance leases , Acceptances , Intra-group deposits , Negotiable Certificates of Deposit , Total short-term borrowings , Total long-term borrowings , Deposits by non-financial businesses , Deposits by financial institutions , Deposits by general government , Deposits by households , Deposits by community service organisations , Total residents deposits ,,
30/09/2022,12004044937,National Australia Bank Limited,"98,022","30,727","32,118",0,"940,148","161,364","204,685","27,791","1,921","194,885","107,822","7,123","13,889",773,"558,889","31,367",0,"6,280","27,663","70,045","112,201","162,023","96,591","27,144","182,108","9,530","477,396",,
30/09/2022,96087651992,Newcastle Permanent Building Society Limited,467,0,"1,678",0,"14,280","1,962",79,0,0,"6,967","2,309",25,546,0,"9,926",,0,,,40,827,703,473,3,"8,494",101,"9,773",,
30/09/2022,85649572449,NongHyup Bank,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30/09/2022,36087650422,Northern Inland Credit Union Limited,81,0,64,0,439,0,7,0,0,210,55,1,10,0,284,,0,,,0,0,60,0,0,324,2,386,,
30/09/2022,34087650477,Orange Credit Union Limited,60,0,42,0,296,0,1,0,0,139,38,0,12,0,191,,0,,,0,0,6,2,4,248,6,266,,
30/09/2022,94073598035,Oversea-Chinese Banking Corporation Limited,129,0,"3,149",0,"14,020",0,"10,474",0,0,0,0,0,0,0,"10,474",0,0,0,"4,187","4,484","3,059",615,50,200,0,0,865,,
30/09/2022,93111195389,PayPal Australia Pty Limited,"1,844",0,0,0,"1,980",0,0,0,0,0,0,0,0,0,0,,0,,,0,0,623,22,2,181,40,867,,
30/09/2022,69087651876,Police & Nurses Limited,185,0,"1,081",0,"8,931","1,792",344,76,0,"4,353","1,209",36,47,1,"6,066",5,0,4,366,366,0,463,418,130,"4,702",135,"5,847",,
30/09/2022,95087650799,Police Bank Ltd,101,0,406,0,"2,441",244,0,0,0,"1,474",356,14,68,0,"1,912",0,0,0,99,99,93,84,24,0,"1,871",12,"1,991",,
30/09/2022,30087651205,Police Credit Union Limited,63,0,146,0,"1,201",0,106,0,0,555,231,4,81,0,977,,0,,,0,48,63,3,6,954,7,"1,033",,
30/09/2022,33087651661,Police Financial Services Limited,87,0,789,0,"2,901",569,0,3,0,"1,674",312,13,20,0,"2,022",0,0,0,0,0,86,35,168,20,"2,318",27,"2,568",,
30/09/2022,79087651036,QPCU Limited,34,0,121,0,"1,171",187,0,0,0,606,158,7,32,0,803,0,0,0,115,115,64,84,20,1,600,0,705,,
30/09/2022,53087650557,Qudos Mutual Ltd,212,0,"1,002",0,"6,012","1,312",0,0,0,"2,328","1,101",18,10,0,"3,457",0,0,0,5,5,0,246,335,0,"4,021",15,"4,618",,
30/09/2022,77087651027,Queensland Country Bank Limited,191,0,336,0,"3,326",452,64,0,0,"1,616",391,12,139,0,"2,223",0,0,0,33,0,46,393,137,26,"1,965",79,"2,599",,
30/09/2022,50001621129,Rabobank Australia Limited,926,649,"1,447",0,"20,928",0,"17,424",39,0,65,160,0,1,0,"17,689",0,0,"5,088",0,0,0,"3,138","3,354",111,"5,351",83,"12,037",,
30/09/2022,91087651090,Railways Credit Union Limited,31,0,125,0,693,0,0,0,0,387,116,0,26,0,531,,0,,,0,25,9,15,0,564,5,592,,
30/09/2022,21087650360,Regional Australia Bank Ltd,378,0,371,0,"3,198",557,213,0,0,"1,695",405,9,51,0,"2,372",0,0,0,0,0,0,619,58,3,"2,039",21,"2,739",,
30/09/2022,86076940880,Royal Bank of Canada,56,353,"1,491",0,"13,608",0,"2,932","2,103",0,0,0,0,0,0,"5,035",11,0,0,872,872,"5,361",260,"3,998",0,0,0,"4,258",,
30/09/2022,95607620440,"Shinhan Bank Co., Ltd",22,0,114,0,709,0,485,31,0,0,0,0,0,0,515,0,0,0,279,79,200,55,0,0,0,0,55,,
30/09/2022,71092516286,Societe Generale,2,0,452,0,"3,909",0,"3,116",135,340,0,0,0,0,0,"3,591",0,0,0,0,0,"1,100",0,0,0,0,0,0,,
30/09/2022,80087650673,South West Slopes Credit Union Ltd,29,0,84,0,259,0,3,0,0,107,16,1,17,0,144,,0,,,0,3,19,0,0,204,8,231,,
30/09/2022,82087650682,Southern Cross Credit Union Ltd,31,0,103,0,865,60,43,0,0,497,165,0,18,0,723,,0,,,0,25,91,97,0,551,27,765,,
30/09/2022,35845772731,Standard Chartered Bank,328,0,0,0,"1,827",0,797,513,0,0,0,0,0,0,"1,310",0,0,0,0,0,0,237,40,0,0,0,277,,
